
         10692900 function calls (9261265 primitive calls) in 55.373 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3300    0.004    0.000    0.015    0.000 __init__.py:791(filter)
        1    0.000    0.000    0.000    0.000 __init__.py:808(SubclassedSeries)
    21088    0.005    0.000    0.005    0.000 __init__.py:82(is_available)
        1    0.000    0.000    0.000    0.000 __init__.py:825(SubclassedDataFrame)
        1    0.000    0.000    0.000    0.000 __init__.py:837(SubclassedCategorical)
    10011    0.006    0.000    0.010    0.000 __init__.py:87(_is_compiled)
    21088    0.064    0.000    0.075    0.000 __init__.py:87(is_acceptable)
     5057    0.001    0.000    0.001    0.000 __init__.py:89(annotate)
      593    0.001    0.000    0.003    0.000 __init__.py:89(find_spec)
     3300    0.003    0.000    0.004    0.000 __init__.py:896(acquire)
        1    0.000    0.000    0.001    0.001 __init__.py:9(<module>)
     3300    0.002    0.000    0.002    0.000 __init__.py:903(release)
    10011    0.016    0.000    0.098    0.000 __init__.py:91(_nvml_based_avail)
     1650    0.002    0.000    0.017    0.000 __init__.py:916(format)
     1650    0.004    0.000    0.055    0.000 __init__.py:939(handle)
    10011    0.020    0.000    0.134    0.000 __init__.py:94(is_available)
      550    0.058    0.000    0.081    0.000 __init__.py:95(get_cfg)
      289    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
        4    0.000    0.000    0.000    0.000 _asarray.py:112(<setcomp>)
        4    0.000    0.000    0.000    0.000 _asarray.py:31(require)
        1    0.000    0.000    0.013    0.013 _base.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _base.py:1404(ExcelFile)
        1    0.000    0.000    0.000    0.000 _base.py:518(BaseExcelReader)
        1    0.000    0.000    0.000    0.000 _base.py:900(ExcelWriter)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _builtins.py:128(_get_builtin_table)
        1    0.000    0.000    0.000    0.000 _builtins.py:161(_register_builtin)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:262(__subclasshook__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:315(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:362(__subclasshook__)
    10016    0.016    0.000    0.069    0.000 _collections_abc.py:760(get)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        1    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _common.py:127(_TZifHeader)
        1    0.000    0.000    0.000    0.000 _common.py:164(ZoneInfoNotFoundError)
      283    0.000    0.000    0.000    0.000 _compat.py:52(find_spec)
        1    0.000    0.000    0.000    0.000 _constants.py:1(<module>)
        2    0.000    0.000    0.612    0.306 _contextlib.py:112(decorate_context)
        2    0.000    0.000    0.000    0.000 _contextlib.py:123(__call__)
        2    0.000    0.000    0.000    0.000 _contextlib.py:141(clone)
     1100    0.010    0.000   15.088    0.014 _contextlib.py:24(generator_context)
        2    0.000    0.000    0.000    0.000 _contextlib.py:69(context_decorator)
        1    0.000    0.000    0.001    0.001 _core.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _core.py:613(PlotAccessor)
        1    0.000    0.000    0.050    0.050 _decorators.py:1(<module>)
      276    0.000    0.000    0.000    0.000 _decorators.py:340(doc)
      276    0.001    0.000    0.017    0.000 _decorators.py:360(decorator)
      276    0.000    0.000    0.002    0.000 _decorators.py:376(<listcomp>)
      276    0.000    0.000    0.006    0.000 _decorators.py:384(<listcomp>)
        1    0.000    0.000    0.000    0.000 _decorators.py:405(Substitution)
       52    0.000    0.000    0.000    0.000 _decorators.py:434(__init__)
       52    0.000    0.000    0.000    0.000 _decorators.py:440(__call__)
        1    0.000    0.000    0.000    0.000 _decorators.py:452(Appender)
      155    0.000    0.000    0.000    0.000 _decorators.py:474(__init__)
      155    0.000    0.000    0.017    0.000 _decorators.py:481(__call__)
        3    0.000    0.000    0.000    0.000 _decorators.py:489(indent)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
     2636    0.002    0.000    0.002    0.000 _functional_pil.py:14(_is_pil_image)
     1318    0.002    0.000    0.006    0.000 _functional_pil.py:41(get_image_num_channels)
     3739    0.038    0.000    0.204    0.000 _functions.py:87(forward)
     3739    0.005    0.000    0.011    0.000 _functions.py:89(<listcomp>)
        1    0.000    0.000    0.000    0.000 _internal.py:917(npy_ctypes_check)
        1    0.000    0.000    0.001    0.001 _io.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _io.py:88(optional_args)
    26004    0.005    0.000    0.005    0.000 _jit_internal.py:1102(is_scripting)
13543/12993    0.027    0.000    0.606    0.000 _jit_internal.py:474(fn)
        1    0.000    0.000    0.002    0.002 _json.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _json.py:1075(Parser)
        1    0.000    0.000    0.000    0.000 _json.py:1286(SeriesParser)
        1    0.000    0.000    0.000    0.000 _json.py:1310(FrameParser)
        1    0.000    0.000    0.000    0.000 _json.py:207(Writer)
        1    0.000    0.000    0.000    0.000 _json.py:261(SeriesWriter)
        1    0.000    0.000    0.000    0.000 _json.py:276(FrameWriter)
        1    0.000    0.000    0.000    0.000 _json.py:306(JSONTableWriter)
        1    0.000    0.000    0.000    0.000 _json.py:787(JsonReader)
     2206    0.004    0.000    0.004    0.000 _methods.py:103(_clip_dep_is_byte_swapped)
